Номер	Слово	Номер урока	Перевод 1	Перевод 2	Перевод 3	
2557	택하다		Выбрать, выбрать			
2560	흘러나오다		Вытекать, убегать, разростаться			
2566	기여하다		Внести, или добавить			
2573	불가피하다		Неизбежный, неотвратимый			
2574	삶다		кипятить, варить (яйца)			
2578	숨지다		Дышать на последнем дыхании			
2584	주저앉다		Садиться			
2586	진하다		Темный, глубокий			
2589	회복하다		Восстановиться, стать лучше, выздороветь			
2590	흘러가다		течь, бежать, плыть			
2594	꾸다		Занять, взять взаймы			
2595	내려다보다		Пересмотреть			
2597	대신하다		Сбросить, заменить другим			
2606	오래되다		Продолжаться в течение длительного времени			
2614	판매하다		Продавать			
2621	고생하다		"Страдать или иметь испытания; делать то, что неохота делать"			
2625	꺾다		Оторвать или отломать			
2626	꿈꾸다		Мечтать			
2628	묻히다		Быть похороненным			
2631	아쉽다		Упустить, почувствовать потерю			
2638	저렇다		Быть таким же			
2639	접하다		Соседствовать, быть рядом с			
2642	쫓다		Уезжать, убегать от погони			
2647	확인되다		Быть подтвержденным			
2648	가하다		Добавить			
2652	고민하다		Быть в тоске или беспокоиться			
2656	노랗다		Желтеться			
2657	다치다		Причинять боль			
2662	올려놓다		Положить вещь на месте			
2663	외면하다		Показывать внешний вид			
2668	치우다		Выпрямлять, исправлять, удалять			
2671	개선하다		Отремонтировать или улучшить			
2673	당기다		Тянуть			
2674	들다		"Вспомогательный глагол, продолжает действие главного глагола; войти / входить в; держать, нести"			
2677	망하다		Пойти в разрушение			
2683	성립되다		Быть заключенным, формированным			
2690	집중되다		Сосредоточить			
2693	파다		Копать			
2695	해결되다		Разрешаться, быть разрешенным			
2698	가라앉다		Успокоиться, утихнуть			
2699	감싸다		"обернуть или уложить в что-то; защитить"			
2701	구경하다		Смотреть или наслаждаться просмотром			
2704	깔다		Проложить (дорога), лечь на пол, разложить (одеяло)			
2705	다짐하다		Заложить, поклянуться			
2707	말씀드리다		Говорить (почтительно)			
2709	멀어지다		Удалиться, стать далеким			
2711	불쌍하다		Быть плачевным, скорбным			
2713	생산되다		Быть произведенным			
2714	숨기다		Прятаться			
2724	지다		Проиграть (на войне, игра)			
2727	짜다		Формировать, организовать			
2729	친하다		Быть интимным, знакомым, близким, дружественным			
2730	헤아리다		Рассмотреть, взвесить, обдумать			
2738	귀하다		"благородный или высокой; дорогой; привлекательный, или ценный"			
2740	기초하다		Сделать основу для чего-то			
2743	낫다		Выздороветь			
2744	답하다		Отвечать			
2747	말리다		Сушить			
2751	보장하다		Обеспечивать, гарантировать			
2753	사귀다		Подружиться с			
2755	솟다		расти, возвышаться			
2757	예상하다		Ожидать, предвидеть			
2760	웃기다		Быть смешным			
2763	제작하다		Производить, создавать			
2767	팔리다		Быть востребованным, Быть продаваемым			
2768	품다		Обнять, сжать			
2772	굳다		Усложниться, стать трудным			
2773	굳어지다		Стать трудным			
2774	굶다		Голодать			
2777	까맣다		Черный			
2781	더럽다		Грязный			
2782	도달하다		Прибытие			
2783	맛보다		Пробовать на вкус			
2786	묻다		Хоронить			
2795	유리하다		Быть прибыльным, выгодным			
2797	증명하다		Доказать, показать			
2798	지적되다		Указать, отметить			
2804	해석하다		Переводить, толковать			
2805	힘쓰다		Очень сильно пытаться			
2807	귀국하다		Вернуться в родную страну			
2808	기뻐하다		Быть обрадованным или быть в восторге			
2809	날리다		Отправить лететь			
2810	내려놓다		Установить, положить			
2813	덜다		Сохранить, облегчить			
2815	맞이하다		Перейти к приветствию			
2816	불행하다		Не разрешать			
2817	신고하다		Объявить			
2819	외롭다		Быть одиноким			
2828	집어넣다		Положить что-то внутрь чего-то			
2836	환하다		"Было ясным, беспрепятственный; быть легким, ярким. Антоним к 어둡다"			
2840	구속되다		Быть арестованным			
2841	멋지다		Быть великолепным			
2845	배다		Замочить (в воде)			
2847	빠져나오다		Выйди из чего-то			
2848	새다		течь, бежать от			
2849	소개되다		Быть представленным, объявленным			
2852	억울하다		Быть разочаровывающим			
2853	오가다		Приходить и уходить, продолжать приходить и уходить			
2854	요구되다		Быть запрошенным			
2858	전개하다		Разложить, развивать, распространять			
2861	척하다		"Предыдущий глагол ложь; отрицание предыдущего глагола"			
2864	한정되다		Быть ограниченным, квалифицированным			
2865	해내다		Достичь, осуществлять			
2868	갚다		Отдавать долг			
2869	건전하다		Здоровый, жизнеспособный			
2874	깨다		Ломаться, трескаться			
2876	끼우다		Положить между, вставить между			
2877	노래하다		Петь			
2878	다듬다		Обрезать, бриться			
2879	다름없다		Быть похожим, быть без отличий			
2880	당당하다		Достойный			
2890	세다		Быть сильным, могучим			
2895	얇다		Быть тонким			
2898	오염되다		Быть загрязненным			
2902	의지하다		Смотреть на, зависеть, полагаться на			
2905	제한하다		Ограничить, определить			
2906	존중하다		оценить, ценить			
2909	책임지다		Брать ответственность			
2914	폭넓다		Быть широким			
2915	표현되다		Быть выраженным			
2919	헤매다		Гулять вокруг, бродить вокруг			
2923	꽂다		Застрять или быть вставленным			
2924	망설이다		Колебаться, сомневаться			
2927	별다르다		Быть особого рода			
2930	뻔하다		Быть почти			
2931	뽑히다		Быть вывезенным, быть вытащенным			
2938	앞세우다		Заставить кого-то уйти			
2939	유사하다		Быть похожим			
2944	작성하다		"Редактировать или сочинять, писать; заполнить форму"			
2949	좋아지다		Становиться лучше			
2951	창조하다		Создать			
2954	파랗다		Быть синим			
2955	펴내다		Публиковать, приносить в печать			
2958	가져가다		Для того, чтобы или носить			
2960	강렬하다		Интенсивный или сильный или тяжелой			
2961	갖다		Обладать			
2962	괴롭다		Быть болезненным или тревожным			
2966	면하다		бежать, избежать			
2967	모색하다		Вечереть, смеркаться			
2968	붙잡다		захватить, поймать			
2984	파괴하다		Уничтожить, разрушить			
2986	해당되다		Быть примененным при			
2989	가득하다		Заполнить			
2992	강요하다		Настаивать на			
2997	낮추다		Снизить, сделать низким			
2998	내주다		Вынуть и отдать			
3001	물러나다		Отступить, отойти назад			
3002	밀접하다		Быть близким, интимным к кому-то			
3006	뻔하다		Быть ясным, очевидным			
3009	소박하다		простой, наивный, простодушный			
3015	적히다		Быть записанным			
3017	제한되다		Быть ограниченным, лимитированным			
3018	지속되다		Быть долговременным, быть непрерывным			
3019	쫓기다		Быть преследованным, быть управляемым			
3022	평가되다		Быть оцененным			
3029	갇히다		Быть органиченным, замолчать			
3030	결심하다		Решить, быть определенным			
3035	늦다		Быть обоздавшим, быть поздным			
3036	닥치다		Закрыть рот			
3039	부담하다		нести ответственность, взять на себя ответственность			
3041	빼앗다		Украсть, отнять			
3042	삼키다		Глотать			
3043	성실하다		Быть созревшим			
3051	잦다		Быть частым, непрестанным			
3053	접다		Прогореть			
3054	제시되다		Быть представленным			
3056	진출하다		Проникнуть в, подвинуться			
3059	통과하다		Проходить через			
3060	투명하다		быть прозрачным, ясным			
3061	확산되다		рассеянный			
3063	고통스럽다		Быть болезненным, быть мучительным			
3064	곤란하다		Сложность или проблемы			
3067	귀찮다		Раздражающий, надоедливый			
3068	기대다		"Полагаться на или опираться на; прислониться"			
3069	깨어나다		Вернуться к сознанию			
3070	꼽히다		быть избранным			
3072	듯싶다		Чтобы быть пожожим, быть как			
3076	밉다		Быть отвратительным			
3078	상징하다		Символизировать			
3079	실현하다		Реализовать, довести до конца			
3080	아깝다		Прискорбный, жалкий			
3081	안정되다		Быть устойчивым			
3082	어리석다		ребяческий, глупый			
3083	엎드리다		Падать ниц, ложиься на землю			
3088	우습다		Быть смешным, забавным			
3090	익숙하다		Привыкнуть к			
3093	전달되다		Быть доставленным			
3094	차다		холодный			
3095	치료하다		Вылечить, лечить			
3100	거절하다		Отказаться или отклонить			
3102	구별하다		Отличить между А и В			
3106	마주치다		Сталкиваться с			
3110	묘사하다		Описать			
3112	베다		Вырезать, нарезать			
3113	보장되다		Быть защищенным			
3117	불리다		замочить, вымочить			
3126	완성하다		Достичь, закончить успешно			
3134	청하다		спросить, сделать запрос			
3139	개방하다		Открыть, раскрыть			
3140	관계되다		Получить влияние от чего-то			
3143	꺼지다		Уйти или вымереть			
3145	끊어지다		Разорвать, закончить			
3148	메우다		"Перевезти, прикрепить; надеть"			
3154	분리되다		Быть отделенным			
3156	새기다		Лепить, гравировать			
3159	선정하다		выбирать			
3160	세다		Считать			
3168	예측하다		Предсказать, прогнозировать			
3171	이동하다		Переместиться, мигрировать, путешествовать			
3172	자극하다		Стимулировать			
3174	적합하다		Быть пригодным, быть в форме			
3176	조절하다		Регулировать, настраивать			
3178	중얼거리다		Бормотать, говорить самому себе			
3179	지급하다		Оплатить, позволить			
3181	힘차다		Быть сильным, могучим			
3183	고요하다		Молчи или быть тихим			
3185	그립다		Возлюбленный, сладкий или ласковый			
3186	긋다		"нарисовать или пометить; ударить"			
3188	긴장하다		Стать напряженным			
3189	날카롭다		Резкое			
3190	논하다		Спорить, обсуждать			
3191	느리다		Быть медленным, опаздывать			
3195	만만하다		"Быть нежным, мягким; быть простым в обращении"			
3196	못되다		Пойти неправильным образом			
3197	보고하다		Сообщить кому-то			
3202	선언하다		объявить, провозгласить			
3204	수입하다		Импортировать			
3205	식다		Замерзнуть, охладить			
3206	엿보다		Ждать возможности			
3207	완성되다		Быть достигнутым			
3210	입히다		Одевать			
3211	잡아먹다		Зарезать и съесть			
3215	차다		Надеть, пристегнуть, носить			
3219	친절하다		Быть добрым, быть хорошим			
3221	탄생하다		Быть рожденным			
3229	건드리다		"прикасаться; совершать пробежку; быть раздраженным; быть выпуклым"			
3230	관리하다		Управлять, контролировать, осуществлять надзор			
3232	근거하다		Базировать что-то на чем-то			
3235	달래다		Успокоиться			
3236	말리다		Сделать остановку			
3240	못하다		Уступать, быть хуже, чем			
3242	밝혀내다		Выяснить			
3243	부서지다		Сломаться, быть сломанным			
3245	상관없다		Не беспокоиться			
3246	성립하다		Существовать, возникнуть			
3249	신기하다		Быть чудесным, поразительным			
3250	업다		Носить на спине, носить на плечах			
3255	주의하다		Обратить внимание на			
3261	튀다		Прыгнуть, отскочить			
3267	고집하다		Быть упрямым, быть постоянным			
3271	구르다		Перекатывать			
3275	대처하다		Утилизация, лечение			
3276	매다		Наконечник			
3278	명확하다		Быть ясным, точным			
3282	빼앗기다		Отнимаемое			
3289	신청하다		Применить (для чего-то)			
3292	안기다		быть обнятым, охваченным кем-то (руками)			
3296	익숙해지다		Привыкнуть к чему-то			
3297	자세하다		Быть подробным, быть детализированным			
3302	제안하다		Предложить, сделать предложение			
3307	튀어나오다		Выскочить, выпрыгнуть			
3313	갈아입다		Переодеться			
3314	감다		Заводить			
3315	같이하다		Сделать вместе, поделиться			
3318	걸어오다		Приходить пешком, прогуливаться			
3330	불리하다		быть невыгодным, неблагоприятным для кого-то или чего-то			
3332	비비다		раздражаться			
3334	살아나다		возродить, вернуть к жизни			
3336	속이다		обмануть			
3348	연락하다		Связаться с, войти в контакт с			
3354	인사하다		Приветствовать, сказать привет			
3356	잘나다		Быть красивым, отличным			
3358	지불하다		Платить			
3362	건네주다		Перекинуться на другую сторону, пересечь			
3370	내려지다		Стать меньше			
3372	녹다		Плавить, расплавлять			
3377	수집하다		Собирать			
3379	싱싱하다		Быть свежим, полным жизни			
3381	어리다		Расплакаться			
3393	지루하다		Быть утомительным			
3400	가르다		"разделить или разрывать; распространять или передавать; различать или отделять"			
3404	공격하다		Атаковать			
3406	기록되다		Быть записанным			
3407	끝없다		Бесконечное, непостижимое			
3408	끼어들다		Перывать			
3412	도망치다		Совершить побег			
3430	적응하다		Подходить к, быть адаптированным к			
3434	지나치다		Идти слишком далеко, идти на крайние меры			
3447	건너가다		Пересечь или перейти (река или улица)			
3454	반복되다		Повторяться, быть повторенным			
3463	쓸쓸하다		Быть одиноким			
3466	어지럽다		"Иметь головокружение; быть в состоянии хаоса, дезорганизации"			
3467	어찌하다		"Будьте предметом нападения головокружения (в переносном смысле); не знать, что, черт возьми, происходит и что делать."			
3468	예정되다		Сделать программу, установить расписание			
3471	인정받다		Получения признание			
3473	입학하다		Быть принятым в школу			
3480	켜지다		Стать включенным			
3483	표시하다		Дать знак, показать			
3484	행하다		Сделать, повести себя			
3486	감상하다		Показать признательность			
3492	끼다		Курить			
3493	넘어지다		Падение вниз, коллапсировать			
3494	눈부시다		Быть ослепительным			
3496	마음먹다		Быть полным решимости			
3498	반복하다		Повторить			
3499	반성하다		Проверить себя			
3502	불어오다		Дуть			
3503	소유하다		Обладать, удерживать			
3507	알아내다		Узнать (например ответ)			
3514	용서하다		Прощать			
3518	의논하다		Консультироваться, совещаться, говорить по вопросу			
3520	주요하다		Быть главным, основным, ведущим			
3525	타고나다		Быть рожденным, быть одаренным, наделенным			
3526	태우다		Водить машину, подвезти кого-то			
3529	허용되다		Быть разрешенным			
3537	나르다		"Двигаться на длинные дистанции (не только в пределах комнаты); нести, передать, транспортировать"			
3538	놀리다		Стебать, дразнить			
3539	늘어놓다		"Безсистемно рассеивать; 으로  늘어 놓다 организовать, размещать в порядке"			
3540	닫히다		Выключить, быть закрытым			
3541	대표하다		Представлять			
3545	맡다		Пахнуть			
3547	밀리다		"быть не сделанным, опоздать с внесением платежа; быть толкнутым, сунутым"			
3550	병들다		Заболеть			
3551	부러지다		Сломаться			
3556	쓸다		Чистить, слегка подметать			
3559	예방하다		Защищать, предотвращать, парировать			
3561	유의하다		Иметь в виду, быть внимательным			
3563	이해되다		Быть понятым			
3566	잘리다		Быть лопнутым, разбитым, отрезанным			
3569	전화하다		Звонить			
3570	전환하다		Обменивать, конвертировать, изменять			
3578	탁월하다		Быть отличным, многообещающим			
3580	토하다		Блевать			
3585	감소하다		Уменьшить			
3588	괴롭히다		Томиться или беспокоиться			
3590	깨우다		Просыпаться или будить			
3592	끊기다		Отрезать, разорвать			
3593	끊임없다		Не заканчиваться, быть бесконечным			
3594	넉넉하다		Быть достаточныс			
3598	보도되다		Быть сообщенным			
3602	성숙하다		созревать			
3605	손질하다		Обращаться осторожно			
3614	얼다		Замораживать, быть замороженным			
3621	인정되다		Быть признанным			
3622	잠자다		Заснуть			
3625	중단하다		Прервать, прекратить			
3626	중대하다		Важность, гравитация			
3629	참되다		Быть правдивым, честным, верным			
3640	가로막다		Прервать, затруднить			
3643	갑작스럽다		Внезапный			
3644	교환하다		Обменять			
3650	내버리다		Выбрасывать			
3654	보호되다		Защититься			
3655	뵙다		увидеть, встретиться			
3656	부치다		посылать, отправлять			
3658	설명되다		Быть объясененным			
3659	섭섭하다		Сожалеть, быть разочарованным			
3661	세련되다		Быть полированным, быть изысканным			
3662	손쉽다		Быть легким, простым			
3667	위로하다		Утешить, успокоить кого-то			
3673	찢어지다		"Быть порванным; быть арендованным"			
3675	축하하다		Поздравлять кого-то			
3678	특이하다		Быть своеобразным, особым, уникальным			
3681	흘러내리다		Вылить (поток) вниз			
3687	나아지다		Стать лучше, быть улучшенным			
3688	넘어오다		Упасть, спуститься			
3691	버려지다		Забрать, выбросить где-то			
3695	설득하다		Убеждать			
3701	외우다		Вспоминать, читать из памяти			
3706	전망하다		Иметь мнение, наблюдение			
3720	개선되다		Быть отремонтированным или быть улучшенным			
3721	건네다		Говорить с человеком или по адресу			
3726	구속하다		Арестовать или задержать			
3727	귀중하다		Быть драгоценным			
3728	긁다		Царапать или очистить			
3729	금지하다		Сдерживать или запретить			
3733	내쉬다		Выдыхать			
3734	넓어지다		Стать шире			
3735	늘어지다		Быть удлиненным			
3739	몰려들다		Передвигается в			
3744	뱉다		Плевать			
3745	벌어지다		Расширять, становиться шире			
3752	시끄럽다		Быть шумным			
3754	안기다		Свалить вину на человека			
3756	어기다		Запустить счетчик, идти против			
3762	요약하다		резюмировать, конденсировать, сокращать			
3763	운동하다		Делать упражнение			
3770	제외되다		Быть исключенным			
3773	찍히다		Стать опечатанным			
3781	계획하다		Запланировать или сделать проект			
3785	나뉘다		Разделять			
3790	늘어서다		Встать в ряд			
3791	다정하다		Быть ласковым, теплосердечным			
3792	달다		Быть сладким			
3793	달려들다		Запускать, прыгать на			
3796	무리하다		Быть невозможным			
3797	묶이다		Быть скрепленным			
3798	방해하다		Прерывать, вмешиваться			
3801	뵈다		Сокращенная форма 보이다 - показывать, демонстрировать			
3804	선명하다		Быть ясным, четким			
3805	선호하다		Предпочитать			
3810	실현되다		Реализовать, довести до конца			
3813	오르내리다		Идти вверх и вниз, подниматься и опускаться			
3815	우수하다		быть выше, превосходить			
3821	전공하다		Быть специалистом в чем-либо, иметь специальность			
3828	청소하다		Чистить			
3837	가까워지다		Стать ближе			
3838	감사하다		Благодарить			
3842	금하다		"подавить или ограничить; воздержаться от чего-то"			
3843	기대되다		Быть ожидаемым			
3846	넘어뜨리다		Бросать			
3847	농사짓다		Заниматься сельским хозяйством			
3848	단단하다		Жесткий, твердый			
3858	망치다		Разорять, разрушать			
3863	묻히다		Быть обмазанным, быть покрытым			
3865	발전되다		Быть расширенным, быть процветающим			
3867	방지하다		Предотвратить, проверить			
3869	삼가다		"Быть осторожным, беречься; воздерживаться от делания чего-то"			
3875	안내하다		Лидировать			
3876	앉히다		Разместить человека, посадить человека на место			
3881	웬만하다		Быть терпимым			
3882	유행하다		Быть в моде, быть популярным			
3887	종합하다		синтезировать, интегрировать			
3889	짜다		Сжать, выдавить			
3903	기다		Ползти			
3908	데려가다		Взять с			
3924	양보하다		Сделать уступку, отступить			
3931	자라나다		Вырастить			
3933	조그마하다		Быть крошечным, небольшим			
3937	지다		Угасать, оторваться			
3939	춤추다		Танцевать			
3945	후회하다		Жалеть			
3947	가입하다		Присоединиться			
3949	고르다		Квартира			
3952	구분되다		Быть внесенным в разделы			
3956	꾸리다		Собрать или запаковать			
3960	덮이다		Быть покрытым			
3962	멋있다		Стильный, со вкусом			
3966	밤늦다		"Быть слишком поздным ночью;"			
3971	보살피다		Заботиться			
3972	보완하다		"дополнить; сделать полным"			
3973	보존하다		сохранить, законсервировать			
3974	빨다		глотать, сосать			
3975	빼놓다		исключить, убрать			
3981	설립하다		Основать, установить			
3984	신기하다		Быть оригиналом, быть новинкой			
3989	쓰다듬다		Поглаживать бороду			
3991	알아주다		подтверждать, признавать, ценить			
3998	유발하다		Индуцировать, вызвать, привести			
3999	유지되다		Быть поддерживаемым, обслуживаемым, сохраняемым			
4001	잡아당기다		Тянуть			
4005	존경하다		Уважать			
4012	체하다		Притворяться			
4013	체험하다		Испытать, пройти через			
4014	초대하다		Вторгаться			
4016	칭찬하다		Хвалить кого-то			
4018	통일하다		Унифицировать, консолидировать			
4028	걷다		"Закатать руква; сложить или свернуть; закончить работу"			
4033	기막히다		Не суметь подобрать слова			
4034	나누어지다		Стать разделенным			
4036	넘겨주다		Сдавать			
4038	다가서다		Сделать шаг, идти рядом с, подойти ближе			
4039	대기하다		Быть готовым к возможности			
4041	말다		Свернуть, скручивать			
4050	분리하다		Отделить, оторвать от			
4051	붙들다		поймать, схватить, угадать			
4052	사들이다		купить, покупать			
4057	실망하다		Разочаровывать			
4058	심해지다		Стать глубоким и серьезным			
4062	약해지다		Стать слабым			
4066	여쭈다		Рассказать начальнику, настучать			
4067	연습하다		Практиковать, упражняться			
4068	연출하다		Издавать, изготовлять, презентовать			
4069	열중하다		Иметь энтузиазм, рвение			
4081	조르다		Дразнить			
4082	주문하다		Заказать, запросить			
4084	지겹다		Быть утомительным, утомлять			
4086	쫓겨나다		"Уйти прочь; быть уволенным"			
4087	찢다		Рвать, раздирать			
4089	출근하다		Ходить на работу			
4090	취소하다		Отменить, отозвать			
4092	칠하다		Красить, покрывать			
4093	타오르다		Зажигать			
4096	평화롭다		Быть мирным			
4101	한하다		Ограничить, лимитировать			
4103	해소하다		Разрушиться, стать дезорганизованным			
4104	허락하다		Согласиться, соглашаться			
4105	확립하다		установить, урегулировать, исправить			
4106	확신하다		Быть уверенным в чем-то			
4108	흥분하다		Быть взволнованным, стать взволнованным			
4109	힘겹다		Быть не достаточно сильны, чтобы сделать что-то			
4111	거들다		Помочь или одолжить			
4115	급증하다		Перенапрягаться или внезапно быстро увеличивать			
4116	깔끔하다		Быть гладким и умным			
4117	꼼꼼하다		Осторожны, или дотошный, делающий это в очень подробной форме			
4118	낮아지다		Стать ниже			
4123	먹고살다		Зарабатывать на жизнь			
4124	멎다		Остановиться			
4130	발달되다		Быть разработанным			
4135	부딪히다		Врезаться в			
4138	뿌리치다		Избавиться от чего-то, отказаться от чего-то			
4160	재미없다		Скучный			
4167	준비되다		Быть готовым			
4168	중단되다		Приостанавливаться, остановиться			
4169	중요시하다		Придавать большое значение			
4171	진단하다		Поставить диагноз			
4173	타다		Получить, взять свою долю денег			
4183	금지되다		Быть запрещенным			
4184	기도하다		Молиться			
4186	깨뜨리다		Разорвать или раздавить			
4197	변화되다		Измениться			
4198	부러워하다		завидовать			
4202	서늘하다		Прохладный, освежающий			
4204	소요되다		Быть необходимым			
4205	소화하다		Переваривать			
4207	시집가다		Взять в мужья			
4209	싶어지다		Прийти к желанию			
4210	씌우다		Надеть шляпу на кого-то			
4212	엇갈리다		Пропустить друг друга, разминуться			
4213	엷다		Быть тонким, легким			
4216	우아하다		элегантный, изысканный			
4224	제의하다		Внести предложение			
4226	조화되다		гармонировать, соглашаться			
4230	착각하다		Неправильно понимть, обманывать себя, иметь иллюзии			
4239	흥미롭다		Быть интересныс			
4240	가져다주다		Принести что-то к кому-то			
4242	개방되다		Быть открытым			
4244	경고하다		Предупреждать			
4248	구별되다		Быть отделенным			
4250	굳히다		Усложнить, сделать трудным			
4253	그럴듯하다		Будьте правдоподобным или благовидный или всего			
4256	기울다		Наклонить или опереться			
4258	끌리다		Быть вынутым, быть вытащенным			
4259	내보내다		Разрешить, позволить выйти			
4261	따스하다		Почувствовать тепло			
4265	미끄러지다		Скользкий			
4269	붙잡히다		Быть пойманным			
4271	빨다		Стирать белье			
4273	사소하다		Быть пустяковым, незначительным			
4275	상쾌하다		Быть освежающим			
4279	식사하다		Съесть еду			
4281	썰렁하다		Быть холодным			
4286	우울하다		Меланхоличный, мрачный			
4288	울리다		Заставить ребенка заплакать			
4295	재밌다		Быть интересным, веселым			
4298	점잖다		Быть достойным, хорошо воспитанным			
4300	주무시다		Спать (почтительное слово)			
4304	진실하다		Быть верным, правдивыйм			
4306	초청하다		Пригласить			
4309	출현하다		Выглядеть, оказываться			
4312	탈출하다		Избежать, чтобы уйти от			
4316	흐리다		Быть ясным (погода)			
4317	걱정스럽다		Тервожный, беспокойный			
4318	건설되다		Стать построенным			
4320	고프다		Голодать			
4324	기술하다		Описать, дать отчет о			
4329	납득하다		Убедить, уговорить кого-то			
4335	모여들다		собирать, объединять в стадо			
4336	묵다		Стареть			
4338	배고프다		Быть голодным			
4342	뵈다		Смотреть (вежливая форма)			
4344	비웃다		Смеяться, насмехаться			
4345	비키다		Отодвигаться			
4350	색다르다		Быть другим, быть новым			
4353	속삭이다		Шептать			
4356	신속하다		Быть быстрым			
4358	신중하다		Быть разумным, осторожным			
4361	여행하다		Путешествовать			
4362	예고하다		Предупреждать, заблаговременно уведомлять			
4363	위반하다		Нарушать (закон)			
4365	은은하다		Быть далеким, слабым, нечетким			
4367	익히다		Готовить, кипятить			
4373	정직하다		Быть честным, быть прямым			
4374	조정하다		Регулировать, координировать			
4384	해롭다		Чтобы быть вредно, вредно			
4386	활발해지다		Стать живым			
4387	회복되다		Быть восстановленым			
4388	희생하다		Пожертвовать			
4389	가능해지다		Стать возможным			
4401	끌어당기다		Появиться рядом			
4408	만족하다		Быть содержанием			
4409	맵다		Пряный			
4410	메다		Положить на чье-то плечо			
4411	몰려오다		Приходить в толпе			
4414	믿어지다		Стать правдоподобным			
4422	부르다		Быть полным			
4423	불평등하다		Быть неравным			
4426	빠뜨리다		"Бросать в (например, в реку); соблазнить, завлечь"			
4434	승리하다		Побеждать			
4439	얻어먹다		Переидти к мольбам			
4440	엄숙하다		"Быть серьезным, торжественным; быть могильно серьезным"			
4443	연상하다		Объединение идей			
4447	올려다보다		Искать			
4448	외다		Повторить снова (заказ)			
4457	재다		мерить, измерять			
4460	지도하다		Вести, поручить			
4465	찾아다니다		Идти в какое-то место, чтобы встретить кто-то или увидеть места			
4473	푸다		Вычерпать, выручить			
4485	곧다		Быть прямым или вертикальным или взведенным			
4487	구하다		Спасти человека			
4490	놔두다		Оставить как есть, пусть это будет			
4491	늦어지다		Стать поздным, опоздать			
4492	도망가다		Сделать попытку, сделать побег			
4493	독하다		Быть отравленным, быть ядом			
4496	무의미하다		Быть ерундой			
4503	사망하다		Умирать, уходить			
4512	씩씩하다		Быть смелым, мужественным			
4518	잊혀지다		Стать забытым			
4519	잘살다		Быть богатым, успешным			
4522	정리되다		Быть регулированным			
4525	죽다		Потерять свой дух			
4526	창피하다		Стыдиться			
4530	토론하다		Обсуждать, дискутировать 			
4532	합하다		Быть в гармонии, быть в согласии с чем-то			
4541	길어지다		Стать долгим, длинным			
4543	나빠지다		Стать хуже			
4545	놓아두다		Оставить как есть, пусть это будет			
4546	대접하다		Лечить			
4550	번거롭다		Быть хлопотным, проблемным			
4555	수출하다		Экспортировать			
4562	입력하다		Вводить (данные в компьютер)			
4566	초조하다		Быть нетерпеливым, раздраженным			
4567	타다		Положить в, смешать, растворить			
4568	한잔하다		Пить стакан спиртного			
4569	함께하다		Сделать это вместе с кем-то			
4570	합격하다		Сдать экзамен			
4576	공통되다		Быть общим			
4577	그만하다		"Быть примерно таким же; быть ни лучше, ни хуже"			
4579	녹이다		Расплавляться, растворяться			
4596	순진하다		Быть наивным, чистым			
4598	심심하다		скучать			
4599	어려워지다		Стать трудным			
4601	올라서다		Встать			
4606	잘생기다		Быть красивым			
4609	저러다		Быть таким же			
4611	절약하다		Экономить			
4617	한가하다		Быть свободным, быть не занятым			
4619	환영하다		Приветствовать			
4621	갈다		"Заменить или обновить; то же, что и 바꾸다"			
4622	경영하다		Управлять			
4625	기념하다		Посвящать			
4631	독립하다		Стать независимым			
4633	방송하다		Транслировать			
4634	보충하다		пополнить, заменить			
4635	불완전하다		Быть не идеальным			
4637	붐비다		"Быть переполненным; быть полным"			
4650	임신하다		Быть беременной			
4651	입원하다		Войти в больницу			
4653	잠그다		Закрывать			
4654	잡수시다		есть, пить			
4665	튀기다		Жарить, всплескивать, брызгать			
4670	흐리다		"Быть грязным, облачным; быть с оттенком"			
4672	값싸다		Дешевый или по низкой цене			
4679	매달다		Привязать вверху, повесить			
4681	문제되다		Стать проблемой			
4685	불필요하다		Быть ненужным			
4687	새우다		Сидеть всю ночь			
4688	서명하다		Подписывать			
4690	수고하다		Работать напряженно			
4693	쓸데없다		Быть бесполезным			
4701	염려하다		Беспокоиться			
4713	치다		ударить (например шторм, сильный ветер, дождь, молнии)			
4719	가만있다		Оставаться спокойным или неподвижным			
4720	간편하다		Быть простым или удобным			
4722	건너오다		Переидти с с другой стороны на эту сторону чего-либо			
4726	귀가하다		Вернуться домой			
4727	날아다니다		Облетать			
4735	반짝이다		Блестеть, сверкать			
4739	분주하다		Быть занятым, переполненным			
4742	뺏다		Прямой			
4752	안되다		Отказать в принятии			
4756	연하다		Быть мягким, нежным			
4771	찌다		Рубить			
4774	침착하다		Иметь самообладание, хладнокровие			
4775	캄캄하다		Быть кромешно-темным			
4789	그리워하다		Тосковать или привыкнуть к чему-то			
4790	기억나다		Запоминать			
4797	만족스럽다		Довольный			
4803	봉사하다		служить			
4805	사랑스럽다		Прекрасный			
4809	쓰이다		Быть написанным			
4814	용감하다		Быть смелым, мужественным			
4817	익다		Быть знакомым с, иметь опыт работы с			
4822	전시하다		Отображать			
4828	질문하다		Спросить человеку вопрос			
4829	짧아지다		Стать коротким			
4830	찌다		Поставить на весы			
4847	다녀가다		Заглянуть на минутку, совершить короткий визит			
4852	묵다		Остаться на ночь, переночевать			
4857	보내오다		Получить			
4862	사이좋다		Быть в хороших отношениях с			
